,Film,Producer(s),Production Company(s),Winner,year,year_simple,Edition,Budget,Budget_converted_to_USD,Detail URL,Wiki URL
0,Wings,Lucien Hubbard,"Paramount , Famous Players-Lasky",True,1927 / 28 [A]  (1st),1927,1,US$ 2 million [ 4 ],2000000,http://oscars.yipitdata.com/films/Wings_(1927_film),http://en.wikipedia.org/wiki/Wings_(1927_film)
1,The Racket,Howard Hughes,"Paramount, Caddo",False,1927 / 28 [A]  (1st),1927,1,,0,http://oscars.yipitdata.com/films/The_Racket_(1928_film),http://en.wikipedia.org/wiki/The_Racket_(1928_film)
2,Seventh Heaven,William Fox,Fox,False,1927 / 28 [A]  (1st),1927,1,$1.3 million [ 1 ],1300000,http://oscars.yipitdata.com/films/Seventh_Heaven_(1927_film),http://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film)
3,The Broadway Melody,Irving Thalberg & Lawrence Weingarten,Metro-Goldwyn-Mayer  [L],True,1928 / 29  (2nd),1928,2,,0,http://oscars.yipitdata.com/films/The_Broadway_Melody,http://en.wikipedia.org/wiki/The_Broadway_Melody
4,Alibi,Roland West,"United Artists , Feature Productions",False,1928 / 29  (2nd),1928,2,,0,http://oscars.yipitdata.com/films/Alibi_(1929_film),http://en.wikipedia.org/wiki/Alibi_(1929_film)
5,Hollywood Revue,Harry Rapf,Metro-Goldwyn-Mayer,False,1928 / 29  (2nd),1928,2,"US$426,000 [ 2 ]",426000,http://oscars.yipitdata.com/films/The_Hollywood_Revue_of_1929,http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929
6,In Old Arizona,Winfield Sheehan [G],Fox,False,1928 / 29  (2nd),1928,2,,0,http://oscars.yipitdata.com/films/In_Old_Arizona,http://en.wikipedia.org/wiki/In_Old_Arizona
7,The Patriot,Ernst Lubitsch,Paramount,False,1928 / 29  (2nd),1928,2,$1 million,1000000,http://oscars.yipitdata.com/films/The_Patriot_(1928_film),http://en.wikipedia.org/wiki/The_Patriot_(1928_film)
8,All Quiet on the Western Front,"Carl Laemmle, Jr.",Universal,True,1929 / 30 [B]  (3rd),1929,3,$1.2 million [ 2 ],1200000,http://oscars.yipitdata.com/films/All_Quiet_on_the_Western_Front_(1930_film),http://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film)
9,The Big House,Irving Thalberg,Metro-Goldwyn-Mayer,False,1929 / 30 [B]  (3rd),1929,3,,0,http://oscars.yipitdata.com/films/The_Big_House_(1930_film),http://en.wikipedia.org/wiki/The_Big_House_(1930_film)
10,Disraeli,"Jack L. Warner , Darryl F. Zanuck",Warner Bros.,False,1929 / 30 [B]  (3rd),1929,3,,0,http://oscars.yipitdata.com/films/Disraeli_(1929_film),http://en.wikipedia.org/wiki/Disraeli_(1929_film)
11,The Divorcee,Robert Z. Leonard,Metro-Goldwyn-Mayer,False,1929 / 30 [B]  (3rd),1929,3,,0,http://oscars.yipitdata.com/films/The_Divorcee,http://en.wikipedia.org/wiki/The_Divorcee
12,The Love Parade,Ernst Lubitsch,Paramount,False,1929 / 30 [B]  (3rd),1929,3,,0,http://oscars.yipitdata.com/films/The_Love_Parade,http://en.wikipedia.org/wiki/The_Love_Parade
13,Cimarron,William LeBaron,RKO Radio,True,1930 / 31  (4th),1930,4,"$1,433,000 [ 2 ]",1433000,http://oscars.yipitdata.com/films/Cimarron_(1931_film),http://en.wikipedia.org/wiki/Cimarron_(1931_film)
14,East Lynne,Winfield Sheehan [G],Fox,False,1930 / 31  (4th),1930,4,,0,http://oscars.yipitdata.com/films/East_Lynne_(1931_film),http://en.wikipedia.org/wiki/East_Lynne_(1931_film)
15,The Front Page,Howard Hughes,"United Artists, Caddo",False,1930 / 31  (4th),1930,4,,0,http://oscars.yipitdata.com/films/The_Front_Page_(1931_film),http://en.wikipedia.org/wiki/The_Front_Page_(1931_film)
16,Skippy,Adolph Zukor,Paramount,False,1930 / 31  (4th),1930,4,,0,http://oscars.yipitdata.com/films/Skippy_(1931_film),http://en.wikipedia.org/wiki/Skippy_(1931_film)
17,Trader Horn,Irving Thalberg,Metro-Goldwyn-Mayer,False,1930 / 31  (4th),1930,4,$1.3 million [ 1 ],1300000,http://oscars.yipitdata.com/films/Trader_Horn_(1931_film),http://en.wikipedia.org/wiki/Trader_Horn_(1931_film)
18,Grand Hotel,Irving Thalberg,Metro-Goldwyn-Mayer,True,1931 / 32  (5th),1931,5,"$750,000 [ 1 ]",750000,http://oscars.yipitdata.com/films/Grand_Hotel_(film),http://en.wikipedia.org/wiki/Grand_Hotel_(film)
19,Arrowsmith,Samuel Goldwyn,"Goldwyn, United Artists",False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/Arrowsmith_(film),http://en.wikipedia.org/wiki/Arrowsmith_(film)
20,Bad Girl,Winfield Sheehan [G],Fox,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/Bad_Girl_(1931_film),http://en.wikipedia.org/wiki/Bad_Girl_(1931_film)
21,The Champ,King Vidor,Metro-Goldwyn-Mayer,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/The_Champ_(1931_film),http://en.wikipedia.org/wiki/The_Champ_(1931_film)
22,Five Star Final,Hal B. Wallis,"Warner Bros., First National",False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/Five_Star_Final,http://en.wikipedia.org/wiki/Five_Star_Final
23,One Hour with You,Ernst Lubitsch,Paramount,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/One_Hour_with_You,http://en.wikipedia.org/wiki/One_Hour_with_You
24,Shanghai Express,Adolph Zukor,Paramount,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/Shanghai_Express_(film),http://en.wikipedia.org/wiki/Shanghai_Express_(film)
25,The Smiling Lieutenant,Ernst Lubitsch,Paramount,False,1931 / 32  (5th),1931,5,,0,http://oscars.yipitdata.com/films/The_Smiling_Lieutenant,http://en.wikipedia.org/wiki/The_Smiling_Lieutenant
26,Cavalcade  [H],Winfield Sheehan  [G],Fox,True,1932 / 33  (6th),1932,6,"$1,180,280",1180280,http://oscars.yipitdata.com/films/Cavalcade_(1933_film),http://en.wikipedia.org/wiki/Cavalcade_(1933_film)
27,42nd Street,Darryl F. Zanuck,Warner Bros.,False,1932 / 33  (6th),1932,6,"$439,000 (est.)",439000,http://oscars.yipitdata.com/films/42nd_Street_(film),http://en.wikipedia.org/wiki/42nd_Street_(film)
28,A Farewell to Arms [H],Adolph Zukor,Paramount,False,1932 / 33  (6th),1932,6,"$900,000 [ 1 ]",900000,http://oscars.yipitdata.com/films/A_Farewell_to_Arms_(1932_film),http://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film)
29,I Am a Fugitive from a Chain Gang,Hal B. Wallis,Warner Bros.,False,1932 / 33  (6th),1932,6,,0,http://oscars.yipitdata.com/films/I_Am_a_Fugitive_from_a_Chain_Gang,http://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang
